modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Kids are talking by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: happy, Statement: Dogs are sitting by the door, Gender: female, Color: (210, 255, 10)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Kids are talking by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: sad, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 0, 80)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Kids are talking by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: angry, Statement: Dogs are sitting by the door, Gender: female, Color: (255, 0, 0)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Kids are talking by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: fearful, Statement: Dogs are sitting by the door, Gender: female, Color: (127, 127, 127)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Kids are talking by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: disgust, Statement: Dogs are sitting by the door, Gender: female, Color: (0, 112, 192)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Kids are talking by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: surprised, Statement: Dogs are sitting by the door, Gender: female, Color: (180, 20, 0)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Kids are talking by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: neutral, Statement: Dogs are sitting by the door, Gender: female, Color: (30, 40, 30)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Kids are talking by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
modality: audio-only, Emotion: calm, Statement: Dogs are sitting by the door, Gender: female, Color: (40, 255, 255)
